SKU;GTIN;NTIN;Название;Описание;НДС;Код ед. измерения;Количество;Код по ОКПД2;Код по ТН ВЭД;В обороте
1;123;;Ошибка короткий неправильный gtin;Ошибка короткий неправильный gtin;10;796;1;13.92.23.110;1208900000;1
17;9E+12;;Ошибка gtin существует;Ошибка gtin существует;10;796;1;13.92.23.110;1208900000;1
20;12345671;;Ошибка gtin не прошел проверку контрольной суммы;Ошибка gtin существует;10;796;1;13.92.23.110;1208900000;1
2;1,23457E+14;;Ошибка короткий неправильный gtin;Ошибка короткий неправильный gtin;10;796;1;13.92.23.110;1208900000;1
3;;123;Ошибка короткий неправильный ntin;Ошибка короткий неправильный ntin;20;796;1;13.92.23.110;1208900000;1
4;;1,23457E+14;Ошибка короткий неправильный ntin;Ошибка короткий неправильный ntin;20;796;1;13.92.23.110;1208900000;1
5;;;L.P.MARS.Гель-крем РОЗА ПРОВАН.д/д.250мл;L.P.MARS.Гель-крем РОЗА ПРОВАН.д/д.250мл;10;796;1;13.92.23.110;1208900000;1
6;;;L.P.MARS.Гель-крем РОЗА ПРОВАН.д/д.250мл2;L.P.MARS.Гель-крем РОЗА ПРОВАН.д/д.250мл;20;796;1;13.92.23.110;1208900000;1
7;;;Ошибка ндс;Ошибка ндс;21;796;1;13.92.23.110;1208900000;1
8;;;Ошибка ндс не заполнен;Ошибка ндс не заполнен;;796;1;13.92.23.110;1208900000;1
9;;;Ошибка пустой окпд2;Ошибка пустой окпд2;20;796;;;1208900000;1
10;;;Ошибка неправильный код окпд2;Ошибка неправильный код окпд2;20;796;1;13000000;1208900000;1
11;;;Ошибка неправильный код тнвед;Ошибка неправильный код тнвед;20;796;1;13.92.23.110;12089123123;1
12;;;Ошибка неправильный код тнвед;Ошибка неправильный код тнвед;20;796;1;13.92.23.110;12089123123;1
13;;;Ошибка кода ед измерений;Ошибка кода ед измерений;20;0;1;13.92.23.110;1208900000;1
14;;;Ошибка кода ед измерений;Ошибка кода ед измерений;20;1;1;13.92.23.110;1208900000;1
14;;;Ошибка дубль SKU;Ошибка дубль SKU;20;796;1;13.92.23.110;1208900000;1
16;;;Ошибка поля В обороте;Ошибка в обороте;20;796;1;13.92.23.110;1208900000;-10
